train/reward,time/time_elapsed,train/policy_loss,time/total_timesteps,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/n_updates,time/fps,train/explained_variance,time/iterations
5.9904504,406,320.9710998535156,39000,-43.89874267578125,70.84996795654297,1.0461006164550781,0.0007,7799,95,0.0,7800
0.32080516,411,-25.26045799255371,39500,-43.86933898925781,0.6421726942062378,1.0455363988876343,0.0007,7899,95,5.960464477539063e-08,7900
4.2648277,416,76.35566711425781,40000,-43.84684753417969,4.641367435455322,1.045101284980774,0.0007,7999,95,0.0,8000
0.0,422,30.740325927734375,40500,-43.79279327392578,0.7116764187812805,1.0429848432540894,0.0007,8099,95,0.0,8100
1.0162135,427,11.827210426330566,41000,-43.79170227050781,0.15716461837291718,1.0429071187973022,0.0007,8199,95,0.0,8200
0.0,433,-23.43892478942871,41500,-43.83978271484375,0.5408865809440613,1.0444891452789307,0.0007,8299,95,0.0,8300
2.1989465,438,-58.763893127441406,42000,-43.827816009521484,1.9147224426269531,1.0440086126327515,0.0007,8399,95,-1.1920928955078125e-07,8400
0.6685316,443,-119.90380859375,42500,-43.860843658447266,11.009164810180664,1.0452711582183838,0.0007,8499,95,0.0,8500
-1.2506901,449,49.45453643798828,43000,-43.9276123046875,1.417970895767212,1.0477635860443115,0.0007,8599,95,0.0,8600
5.216442,454,111.59690856933594,43500,-43.907657623291016,34.302040100097656,1.0473099946975708,0.0007,8699,95,-1.1920928955078125e-07,8700
-0.04893959,459,-63.06597900390625,44000,-43.97573471069336,3.2870147228240967,1.0496206283569336,0.0007,8799,95,0.0,8800
0.0,464,-52.45831298828125,44500,-44.027610778808594,1.6502224206924438,1.0514330863952637,0.0007,8899,95,0.0,8900
-1.685336,469,-11.931398391723633,45000,-44.00971984863281,0.10172025859355927,1.0510284900665283,0.0007,8999,95,0.0,9000
-0.6567574,473,1.2213070392608643,45500,-44.09318161010742,0.20212188363075256,1.0540646314620972,0.0007,9099,96,-1.1920928955078125e-07,9100
-0.8985849,478,47.623939514160156,46000,-44.13163375854492,1.117903470993042,1.0554853677749634,0.0007,9199,96,0.0,9200
-0.7791779,482,30.704940795898438,46500,-44.180320739746094,0.7802357077598572,1.0573323965072632,0.0007,9299,96,0.0,9300
0.0,487,-76.59932708740234,47000,-44.240596771240234,3.004115343093872,1.0591999292373657,0.0007,9399,96,0.0,9400
-0.004754067,491,75.47599792480469,47500,-44.273841857910156,3.2858834266662598,1.060500979423523,0.0007,9499,96,5.960464477539063e-08,9500
0.3075118,496,40.9139289855957,48000,-44.27306365966797,1.7776952981948853,1.0605584383010864,0.0007,9599,96,-1.1920928955078125e-07,9600
0.98918116,501,-24.392873764038086,48500,-44.332332611083984,1.2218906879425049,1.0625911951065063,0.0007,9699,96,0.0,9700
-0.088553414,507,69.41329193115234,49000,-44.30832290649414,3.267119884490967,1.0615001916885376,0.0007,9799,96,0.0,9800
-0.15637468,512,108.8780517578125,49500,-44.319366455078125,9.459537506103516,1.0621600151062012,0.0007,9899,96,5.960464477539063e-08,9900
0.0,517,-251.3172149658203,50000,-44.3558349609375,29.11468505859375,1.0633381605148315,0.0007,9999,96,0.0,10000
